UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
PDRM-106,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bagan Nakhoda Omar,PENGURUSAN,IPD Sabak Bernam,,,,,,106,-91196.416,66473.91,3.7750227,100.8817216,True
PDRM-102,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sabak Bernam,PENGURUSAN,IPD Sabak Bernam,,,,,,102,-79800.297,65218.244,3.7637217,100.984321,True
PDRM-011,PDRM,IPD,DAERAH,IPD Sabak Bernam,PENGURUSAN,IPD Sabak Bernam,,,,"Sabak Bernam, Selangor",,11,-79307.854,55780.918,3.6783811,100.9887927,True
PDRM-103,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Besar,PENGURUSAN,IPD Sabak Bernam,,,,,,103,-79307.854,55780.918,3.6783811,100.9887927,True
PDRM-105,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Air Tawar,PENGURUSAN,IPD Sabak Bernam,,,,,,105,-89676.323,73859.512,3.8418183,100.8953682,True
PDRM-104,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sekinchan,PENGURUSAN,IPD Sabak Bernam,,,,,,104,-66855.018,36688.782,3.5057701,101.100942,True
PDRM-089,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Sungai Sireh,PENGURUSAN,IPD Kuala Selangor,,,,,,89,-58809.714,32889.734,3.4714338,101.1733566,True
PDRM-085,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Tanjung Karang,PENGURUSAN,IPD Kuala Selangor,,,,,,85,-59253.717,27692.769,3.4244351,101.1693715,True
PDRM-088,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Sungai Yu,PENGURUSAN,IPD Kuala Selangor,,,,,,88,-54163.234,22599.019,3.3783801,101.2151896,True
PDRM-009,PDRM,IPD,DAERAH,IPD Kuala Selangor,PENGURUSAN,IPD Kuala Selangor,,,,"45000 Kuala Selangor, Selangor",03-32891222,9,-48697.123,16297.661,3.3214022,101.2643847,True
PDRM-084,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kuala Selangor,PENGURUSAN,IPD Kuala Selangor,,,,,,84,-48697.123,16297.661,3.3214022,101.2643847,True
PDRM-083,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Jeram,PENGURUSAN,IPD Kuala Selangor,,,,,,83,-43023.032,5779.831,3.2262905,101.315448,True
PDRM-055,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Ulu Bernam,PENGURUSAN,IPD Hulu Selangor,,,,,,55,-19736.14,55007.506,3.6714667,101.5250308,True
PDRM-050,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kerling,PENGURUSAN,IPD Hulu Selangor,,,,,,50,-11123.621,46066.322,3.590594,101.6025374,True
PDRM-054,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kalumpang,PENGURUSAN,IPD Hulu Selangor,,,,,,54,-14435.596,51521.972,3.6399375,101.5727373,True
